# 20260919T231809Z-row13-metrics-6cf9ff63
cell                                C  window_s  conc_tps  med_stream
b000-S1-omp-0-c1-w0                 1      2.37      83.0        83.0
b000-S1-omp-0-c4-w0                 4      2.15     118.9        24.9
b000-S0-32k-c4-w0                   4      6.72      79.6        18.9
b000-S1-omp-0-c8-w0                 8      5.53     162.0        18.4
b000-S0-32k-c8-w0                   8         -         -           -
b000-S0-0-c4-w0                     4      7.78      75.8        19.7
b000-S1-omp-128k-c1-w0              1      2.79      78.9        78.9
b000-S1-omp-32k-c1-w0               1      2.85      80.8        80.8
b000-S1-omp-32k-c8-w0               8         -         -           -
b000-S0-32k-c1-w0                   1     20.88      49.0        49.0
b000-S0-0-c1-w0                     1      2.46      41.8        41.8
b000-S0-0-c8-w0                     8      5.15     108.7        14.5
b000-S1-omp-32k-c4-w0               4         -         -           -
